,MSE,RMSE,R²
Random Forest,3.000573334408904e-05,0.0054777489303626395,0.5925691023450288
Gradient Boosting,4.227456341669365e-05,0.006501889219041928,0.42597759157156134
Support Vector Regression,0.0034875790201192567,0.05905572808897759,-46.35586477808089
Neural Network,0.3131777201271958,0.5596228373888934,-4251.4632933891235
Ridge Regression,0.0001930708838554117,0.01389499492102864,-1.6216004327634685
Lasso Regression,0.00011701819085932617,0.010817494666480135,-0.5889238898794675
Elastic Net,6.285815262049986e-05,0.007928313352819745,0.14648466499991308
