,AAPL,MSFT,GOOGL,TSLA,AMZN
AAPL,1.0,0.6720103761655647,0.6199564303521343,0.6424688964998526,0.7483003427578006
MSFT,0.6720103761655647,1.0,0.6324897392006883,0.5485514501911825,0.7565513218445064
GOOGL,0.6199564303521343,0.6324897392006883,1.0,0.5871717675256859,0.7063821244597294
TSLA,0.6424688964998526,0.5485514501911825,0.5871717675256859,1.0,0.600057536888596
AMZN,0.7483003427578006,0.7565513218445064,0.7063821244597294,0.600057536888596,1.0
