,Count,Mean,Std,Min,Max,Skewness,Kurtosis,JB p-value,ADF p-value,VaR 5%,Annualized Vol,DW Statistic
AAPL,99.0,-0.000548605633932735,0.026179793635676803,-0.0924561168430925,0.153288481614662,1.4003229796010566,15.363890528560182,1.1152759740815938e-144,7.833104771463954e-08,-0.03751888034483307,0.41559134000995396,2.067771983379961
MSFT,99.0,0.003394818946373918,0.01786684948390174,-0.0366059160552718,0.1013368682310469,2.1577521189782534,13.395485961114817,3.310779418337403e-114,5.3197231437921444e-09,-0.023420508906278042,0.28362744267976037,2.0273826878839456
GOOGL,99.0,0.0016714595641733469,0.021725912990747543,-0.0725969490902407,0.0968210089841052,0.22271487064303994,6.543052551624661,3.784017307570257e-12,4.412169053376637e-05,-0.03428441972640073,0.3448881766760732,2.065735726410603
TSLA,99.0,0.0038684479898794034,0.04804370574846311,-0.142599006173769,0.2268998467502028,0.7701913087882077,7.181124497968165,1.6428935214467174e-18,2.909018736954163e-18,-0.058506562274113307,0.7626701848343861,2.045236265778218
AMZN,99.0,0.0012233547577683943,0.02590930421958861,-0.0897913371766746,0.1197703035274815,0.39542604352698046,8.836175083618057,8.516884039932515e-32,4.892409083491721e-19,-0.03173576584862409,0.41129745364648734,2.135028027070687
