,Count,Mean Return,Volatility,Min,Max
Regime 0,26.0,0.001170256979000827,0.01000812414852319,-0.0250036132389073,0.0222307766336253
Regime 1,27.0,-0.0026160189911711104,0.013195943127200247,-0.0302443384982121,0.0252983049111485
Regime 2,26.0,0.008540799674503117,0.038134787573772276,-0.042393764143827,0.153288481614662
