,PC1,PC2,PC3
AAPL,0.45745030098541595,0.06397110264272904,-0.45843890606218446
MSFT,0.4484667022269204,-0.45187413187364434,-0.2512871808960021
GOOGL,0.4387186551972394,-0.09137031234224618,0.8484321012615471
TSLA,0.4143918115217661,0.8387939527715271,-0.03348284019824039
AMZN,0.4747864859573169,-0.282477676616243,-0.07569934667500591
