Date,AAPL,MSFT,GOOGL,TSLA,AMZN
2025-03-12,-0.017478717623618967,0.007412274937574015,0.018714947573762686,0.07593893659467432,0.011699476066941328
2025-03-13,-0.05053432349212095,-0.0044158233670652525,-0.007802974884174585,0.04380258478619137,-0.013734167556844201
2025-03-14,-0.03328201412787535,0.021316861611250015,0.008839307485979164,0.08413565790614963,0.006917951065669614
2025-03-17,-0.030972649882267667,0.021684846891838916,0.0015240185320652966,0.032223089600138755,-0.004323719416043481
2025-03-18,-0.03690454627784823,0.008069391510054258,-0.02054376981224093,-0.022855408101309704,-0.019176967292334313
2025-03-19,-0.02535772504980971,0.01937179655670973,-0.000914411119239178,0.022898776997137604,-0.005341065160994973
2025-03-20,-0.030519833363521043,0.016795899592588315,-0.007559131919044004,0.024633532830254046,-0.008342235108601659
2025-03-21,-0.011637384531787531,0.02841372059403402,-0.0003048037064129483,0.07862780813600478,-0.0019329569154076243
2025-03-24,-0.0004980981706212972,0.03319752924168817,0.022189709826871518,0.2073466909532482,0.033928480594130006
2025-03-25,0.013176960695526097,0.03866473912472146,0.03974640331626422,0.24963136438546263,0.04639096596978498
2025-03-26,0.003124433979351471,0.025022999080037467,0.006217995610826588,0.17989417989418,0.02309374841039724
2025-03-27,0.01362977721427261,0.026626363516888407,-0.01097293343087058,0.18453465174776662,0.02426369601709144
2025-03-28,-0.013312805651150228,-0.004336969378367139,-0.059192879785418206,0.14298724954462672,-0.019685640164810114
2025-03-31,0.005841333091831213,-0.01330003942699376,-0.05730309680565726,0.12394830427617332,-0.03219899282771266
2025-04-01,0.010641188190545048,0.004573531344461035,-0.04248963667398198,0.16428137739613158,-0.022483340963426635
2025-04-02,0.013810903821771303,0.004442108029965031,-0.04267251889782975,0.22629889843004602,-0.0029503026603593385
2025-04-03,-0.0799221155587756,-0.01929294256801095,-0.08119970738844173,0.15916384768843783,-0.09247672821608444
2025-04-04,-0.1469842419851477,-0.05417269023524729,-0.11241160692514007,0.038381472807702544,-0.13016938806653455
2025-04-07,-0.17831914508241264,-0.059377053489288456,-0.10540112167763938,0.011752970769364213,-0.10849992369906936
2025-04-08,-0.2192537583771057,-0.06805099224602396,-0.11789807364057536,-0.0378176771619394,-0.131898875832952
2025-04-09,-0.09957435247237822,0.026389801550795733,-0.032492075103632945,0.18050134443577082,-0.027926140698916746
2025-04-10,-0.13774678500271698,0.0023656196609285196,-0.06839795171909269,0.09463093069650474,-0.07818302049951698
2025-04-11,-0.10274406810360437,0.02102773031935934,-0.04206291148500341,0.09424061063405342,-0.05961646065415349
2025-04-14,-0.08295598623437772,0.01934551189381084,-0.03029748841745883,0.09441408621736502,-0.07360496464723554
2025-04-15,-0.08467668900561498,0.013878302010777555,-0.047122653011460236,0.10204701188307763,-0.08647438832087107
2025-04-16,-0.12031334903097257,-0.023235642002890522,-0.06528895391367917,0.04757567872321977,-0.11323058141309339
2025-04-17,-0.10804202137293972,-0.03330266789328351,-0.07851743477200646,0.04679503859831735,-0.1219797548196756
2025-04-21,-0.12533961238906,-0.05606518596398924,-0.0997927334796388,-0.013357619914996954,-0.14888854977364085
2025-04-22,-0.0955442854555334,-0.03582599553160648,-0.07662765179224551,0.032049614016827155,-0.11908031944656416
2025-04-23,-0.07353740264444864,-0.0159285057169134,-0.052974884174591286,0.08743169398907114,-0.08133679230886659
2025-04-24,-0.05646621988770162,0.018004994085951687,-0.029017312850524002,0.12546621563015004,-0.05112162368380946
2025-04-25,-0.05234558956710755,0.029964515705086958,-0.012679834186783312,0.23579668661635877,-0.038659138308154484
2025-04-28,-0.048451367505886855,0.028150873965042233,-0.020909534259936136,0.2398299939283548,-0.045221018363091336
2025-04-29,-0.043606230755298236,0.035720856880011365,-0.02365276761765389,0.2665018648625206,-0.04679790426776609
2025-04-30,-0.03776489766346702,0.03892758575371347,-0.031943428432089305,0.22369676468037158,-0.061905488580294765
2025-05-01,-0.03405180220974491,0.11814955973189711,-0.016703243111435784,0.21658426576459378,-0.03250419655119863
2025-05-02,-0.07014127875384923,0.14411880667630506,-6.096074128225659e-05,0.24559805707346705,-0.03362327687064526
2025-05-05,-0.09939322586487986,0.1464581416743338,0.0010363326018048014,0.21545667447306815,-0.05208810214151349
2025-05-06,-0.1011139286361169,0.1389407280851631,-0.004937820043891539,0.1941625466215633,-0.05890431863268808
2025-05-07,-0.11134758195979011,0.13904586673676,-0.07717629846378915,0.19793564055859147,-0.04008342235108675
2025-05-08,-0.10573265712733215,0.15171507425417352,-0.059497683491831155,0.23523289097059585,-0.0229411465486552
2025-05-09,-0.10102336533236755,0.15318701537652868,-0.06882467690807115,0.2935206869633098,-0.01795615239839332
2025-05-12,-0.04550806013403397,0.18086476540938445,-0.034016093635698574,0.3807789053690691,0.06129508113332238
2025-05-13,-0.03581778663285662,0.180549349454594,-0.027493294318458927,0.4488247029230632,0.07518185055190951
